Name,Quantity,Component
"U1",1," Arduino Uno R3"
"SERVO1",1," Micro Servo"
"S1",1," Slideswitch"
"SEN1",1," Soil Moisture Sensor"
"U2",1," Temperature Sensor [TMP36]"
"PIEZO1",1," Piezo"
"R1, R2",2,"1 kΩ Resistor"
